id,category,direction,baseline,result,improvement,cohort,source_url,construction
pack_hsp4_n195,four-dimensional-balls,max,0.208201733458,0.20820290272865002,1.169270650025478e-06,announcement,https://packomania.com/hsp4/txt/hsp4-195.txt,records/four-dimensional-balls/pack_hsp4_n195/construction.json
pack_hsp4_n196,four-dimensional-balls,max,0.207769000003,0.20777066043847234,1.6604354723392944e-06,announcement,https://packomania.com/hsp4/txt/hsp4-196.txt,records/four-dimensional-balls/pack_hsp4_n196/construction.json
pack_hsp4_n202,four-dimensional-balls,max,0.206950551663,0.2069511796276014,6.279646014017981e-07,announcement,https://packomania.com/hsp4/txt/hsp4-202.txt,records/four-dimensional-balls/pack_hsp4_n202/construction.json
pack_hsp4_n203,four-dimensional-balls,max,0.20682627505,0.20682979047236927,3.5154223692601683e-06,announcement,https://packomania.com/hsp4/txt/hsp4-203.txt,records/four-dimensional-balls/pack_hsp4_n203/construction.json
pack_hsp4_n208,four-dimensional-balls,max,0.205326174942,0.20532715228950904,9.77347509034665e-07,announcement,https://packomania.com/hsp4/txt/hsp4-208.txt,records/four-dimensional-balls/pack_hsp4_n208/construction.json
pack_hsp4_n210,four-dimensional-balls,max,0.204754919947,0.20475533436816706,4.144211670498166e-07,announcement,https://packomania.com/hsp4/txt/hsp4-210.txt,records/four-dimensional-balls/pack_hsp4_n210/construction.json
pack_hsp4_n220,four-dimensional-balls,max,0.202684437558,0.20268509774853616,6.601905361558469e-07,announcement,https://packomania.com/hsp4/txt/hsp4-220.txt,records/four-dimensional-balls/pack_hsp4_n220/construction.json
pack_hsp4_n251,four-dimensional-balls,max,0.19648328424,0.19648412574433377,8.415043337706152e-07,announcement,https://packomania.com/hsp4/txt/hsp4-251.txt,records/four-dimensional-balls/pack_hsp4_n251/construction.json
pack_hsp4_n252,four-dimensional-balls,max,0.196419092207,0.19642167518520087,2.58297820088238e-06,announcement,https://packomania.com/hsp4/txt/hsp4-252.txt,records/four-dimensional-balls/pack_hsp4_n252/construction.json
pack_hsp4_n253,four-dimensional-balls,max,0.196090977289,0.19609373244103998,2.7551520399848872e-06,announcement,https://packomania.com/hsp4/txt/hsp4-253.txt,records/four-dimensional-balls/pack_hsp4_n253/construction.json
pack_hsp4_n255,four-dimensional-balls,max,0.195739634189,0.19574061697062078,9.827816207785833e-07,announcement,https://packomania.com/hsp4/txt/hsp4-255.txt,records/four-dimensional-balls/pack_hsp4_n255/construction.json
